1,Acer Predator Helios 300
2,Acer Altos P10 F8
3,Acer Altos P10 F9
4,Acer Aspire E14
5,Acer Aspire L310
6,Acer Aspire One D270
7,Acer Aspire TC-875
8,Acer Aspire TM B115
9,Acer Aspire V5-123
10,Acer E-Machines EL1852
11,ACER Monitor V247Y
12,Acer Nitro 5
13,Acer Nitro 5 AN515-57-50AG
14,Acer Predator Helios 300
15,Acer S200HQL
16,Acer Swift SF514-52T
17,Acer Swift SF514-55TA-54J7
18,Acer TravelMate P214-52-50GN
19,Acer TravelMate P214-52-537S
20,Acer TravelMate P214-52-54G1
21,Acer TravelMate P214-53-53F7
22,Acer TravelMate P215-52G-5310
23,Acer Travelmate P215-53-59H4
24,Acer TravelMate P215-53G-550B
25,Acer Travelmate P215-54-56ZR
26,Acer TravelMate P238-G2-M
27,Acer TravelMate P2410-52-50GN
28,Acer TravelMate P2410-52-54G1
29,Acer TravelMate P2410-G2-M
30,Acer TravelMate P249-G2-M
31,Acer TravelMate TM2410-52-54G1
32,ACER V226HQL
33,Acer Veriton VM4640G
34,Acer Veriton X2710G
35,AOC 717Vwx
36,AOC 917Vw
37,Asus
38,Asus C1241Q
39,Asus ExpertCenter D700TD Tower
40,Asus K40IJ
41,Asus K555UQ-DM038T
42,Asus TP550LD
43,Asus UX31A
44,Asus Vivobook S550C
45,Asus X450LA-WX021
46,Asus X450LCP
47,BROTHER MFC-J3940DW
48,Brother MFC-T4500DW Ink Tank Printer
49,CANON EOS 3000D
50,CANON PIXMA G2010
51,CANON SX70 HS
52,Cisco C9200-48P
53,CISCO IP Phone CP 3905
54,CISCO IP Phone CP 7861
55,CISCO IP Phone CP-7841
56,CLONE
57,Dell E1913C
58,Dell E1913S
59,Dell E1913SF
60,DELL E2216H
61,Dell Inspiron 14Z
62,Dell Inspiron 3420
63,Dell Inspiron 3442
64,Dell Inspiron 3668
65,Dell Inspiron 5368
66,Dell Inspiron 5542
67,Dell Inspiron 5559
68,Dell Latitude 3410
69,Dell Latitude 5430
70,Dell Latitude 5490
71,Dell Latitude 7480
72,Dell Latitude 7490
73,Dell Latitude E5570 XCTO
74,Dell Latitude E7240
75,Dell Latitude E7440
76,Dell Latitude E7450
77,Dell Optiplex 3050 AIO CTO
78,Dell Optiplex 7040
79,Dell Optiplex 7050
80,Dell Optiplex 7060
81,Dell OptiPlex 9020
82,Dell P2419H
83,Dell Precision 3510
84,Dell Precision Tower 1700
85,Dell Precision Tower 3620
86,Dell Precision Tower T7610
87,Dell Vostro 3430
88,Dell Vostro 3530
89,Dell Vostro 5460
90,Dell XPS 13 9360
91,Display - Samsung S23C350H
92,DJI MAVIC MINI 2
93,DJI MAVIC MINI 4 PRO
94,ECO 220V 500 Watts with 110V AVR
95,EPSON 25290
96,EPSON ECOTANK L15150
97,Epson L3110
98,EPSON L3158
99,EPSON L3210
100,FAP-221E+
101,FortiGate 201F
102,FORTINET FG-81F
103,FORTINET FORFWF-40F-S
104,FORTINET FORFWF-60F-S
105,FortiWiFi 30E
106,FortiWiFi 50E
107,FWF-30D
108,Globe at Home Prepaid WiFi
109,HIKVISION
110,HIKVISION ACUSENSE H265+265 Mbps 32CH 4SATA NVR | DS-7732NXI-K4
111,HOLLYLAND MARS 400S
112,HONOR X6A
113,HP 15
114,HP 450
115,HP Compaq Elite 8300 SFF
116,HP DeskJet GT 5810
117,HP Envy X360
118,HP LASER PRINTER
119,HP Pavilion TP01-1128D
120,HP Pro Display P191 Monitor
121,Hp ProBook 440 G10
122,HP ProBook 440 G2
123,HP Spectre 13-V104TU
124,HP Spectre X360 13-AC0XX
125,HP Victus 16-R0106TX
126,HP Z230 Tower Workstations
127,HUAWEI LTE CPE B310
128,Huawei LTE CPE B593
129,INTERCOM SYSTEM C1-6S
130,iPhone 15 Pro Max
131,Jabra Speak2 75 
132,KANDAO MEETING 360
133,Lenovo 14002
134,Lenovo G480
135,Lenovo IdeaCentre B500
136,Lenovo IdealPad Z470
137,Lenovo Thinkcenter E73
138,Lenovo ThinkPad E440
139,Lenovo ThinkPad L380440
140,Lenovo ThinkPad P14s Gen 2
141,Lenovo ThinkPad T430u
142,Lenovo ThinkPad T440P
143,Lenovo V14 IIL 82C40161PH
144,Lenovo Y410
145,Lenovo Yoga 6
146,Lenovo Yoga 7
147,LG 24MP58
148,LG FLATRON L177WSB
149,LG Flatron W194PS-PF
150,LG W1941ST
151,MSI MAG SHIELD M301
152,NIKON D3500 18-55
153,NUTANIX STORAGE UPGRADE
154,PLDT Home Smart LTE D2K-FT10
155,PROJECTOR
156,REALME C51
157,REALME C53
158,REDFOX RF787A
159,REDMI 13C
160,Samsung A14 5G
161,SAMSUNG B1930N
162,Samsung Galaxy A04e
163,Samsung Galaxy A06  SM-A065F / DS
164,Samsung Galaxy A15 5G
165,Samsung Galaxy J1
166,Samsung NP-RC420
167,SAMSUNG S190300NY
168,SAMSUNG S19A100N
169,SAMSUNG S19A10N
170,SKYWARE ZENSEI PARABOLIC ANTENNA
171,SONY 4XCAM CAMCORDER
172,Sony PXW-Z90 Handheld Camcorder
173,STARLINK Router
174,STARLINK Satellite Dish
175,Synology DS1522+
176,Synology DS1821+ NAS
177,TCD NITGEN NAC5000
178,TP-LINK AC1350
179,Ubiquiti USW-24-POE UniFi 24 Gigabit Switch with POE and SFP
180,VIEW SONIC VX1940w
181,YOUHE UPS
182,ZKTECO TCD IN01-A
183,ZKTECO TCD MB560-VL
184,ZTE MF286
