1,Corporate Audit,CA,2024-10-10,2024-10-10
2,Corporate HR and Transformation,CHRT,2024-10-10,2024-10-10
3,Corporate Labor and Relations,CLRS,2024-10-10,2024-10-10
4,Chief Operating Officer,COO,2024-10-10,2024-10-10
5,Corporate Services Group,CSG,2024-10-10,2024-10-10
6,Distribution Utility Services,DUS,2024-10-10,2024-10-10
7,Engineering Procurement Construction,EPC,2024-10-10,2024-10-10
8,Finance,FIN,2024-10-10,2024-10-10
9,Information Communication & Technology,ICT,2024-10-10,2024-10-10
10,Legal,LEG,2024-10-10,2024-10-10
11,Logistics,LOG,2024-10-10,2024-10-10
12,MIESCOR Builders Inc.,MBI,2024-10-10,2024-10-10
13,MIESCOR Logistic Inc.,MLI,2024-10-10,2024-10-10
14,Bid and Proposal,MP,2024-10-10,2024-10-10
15,Office of the President,OP,2024-10-10,2024-10-10
16,Occupation Safety and Sustainability,OSSM,2024-10-10,2024-10-10
17,Project Estimation and Execution,PEE,2024-10-10,2024-10-10
18,Quality Assurance and Control,QAC,2024-10-10,2024-10-10
19,Supply Chain Management,SCM,2024-10-10,2024-10-10
20,Telecoms,TEL,2024-10-10,2024-10-10
21,Trading,TRD,2024-10-10,2024-10-10
22,Utility Attachment Management,UAM,2024-10-10,2024-10-10
23,N/A,NA,2024-10-10,2024-10-10
