1,A4 TECH,,,,,,2021-07-07,2021-07-07
2,ACER,,,,,,2021-07-07,2021-07-07
3,ADATA,,,,,,2021-07-07,2021-07-07
4,AD-LINK,,,,,,2021-07-07,2021-07-07
5,ADOBE,,,,,,2021-07-07,2021-07-07
6,AOC,,,,,,2021-07-07,2021-07-07
7,APPLE,,,,,,2021-07-07,2021-07-07
8,ASUS,,,,,,2021-07-07,2021-07-07
9,AUTODESK,,,,,,2021-07-07,2021-07-07
10,BENTLEY,,,,,,2021-07-07,2024-07-29
11,BIOSTAR,,,,,,2021-07-07,2021-07-07
12,BROTHER,,,,,,2021-07-13,2021-07-14
13,CANON,,,,,,2021-07-16,2021-07-16
14,CDR King,,,,,,2021-07-16,2021-07-16
15,CHECKPOINT,,,,,,2021-07-19,2021-07-22
16,CISCO,,,,,,2021-07-28,2021-07-28
17,CLONE,,,,,,2021-07-28,2021-07-28
18,DATACARD,,,,,,2021-08-16,2021-08-16
19,DELL,,,,,,2021-09-24,2021-09-24
20,DJI,,,,,,2021-10-01,2021-10-01
21,EPSON,,,,,,2022-01-27,2022-01-27
22,FORTINET,,,,,,2022-01-27,2023-03-01
23,GENERIC,,,,,,2022-03-11,2022-03-11
24,GIGABYTE,,,,,,2022-03-11,2022-03-11
25,GLOBE TELECOM,,,,,,2022-03-28,2023-03-01
26,HIKVISION,,,,,,2022-06-02,2022-06-02
27,HOLLYLAND,,,,,,2022-06-02,2022-09-02
28,HP,,,,,,2022-06-02,2023-03-01
29,HUAWEI,,,,,,2022-06-06,2022-09-02
30,INTELLIGENT,,,,,,2022-06-06,2023-03-01
31,JABRA,,,,,,2022-06-06,2022-06-06
32,KANDAO,,,,,,2022-06-22,2022-06-22
33,KENSINGTON,,,,,,2022-07-06,2022-07-06
34,KIOXIA,,,,,,2022-07-06,2022-07-06
35,LENOVO,,,,,,2022-07-06,2022-07-06
36,LG,,,,,,2022-07-28,2022-07-28
37,LINKSYS,,,,,,2022-08-23,2022-09-02
38,LOGITECH,,,,,,2022-09-02,2022-09-02
39,MAGNUM COMPUTERWARE GLOBAL CORPORATION,,,,,,2022-09-09,2022-09-09
40,MICROSOFT,,,,,,2022-11-24,2022-11-24
41,MSI,,,,,,2022-12-09,2022-12-09
42,MUSTARD SEED,,,,,,2022-12-19,2023-03-01
43,NIKON,,,,,,2022-12-29,2023-03-01
44,NITGEN,,,,,,2023-01-04,2023-03-01
45,NUTANIX,,,,,,2023-02-28,2023-02-28
46,OCTAGON,,,,,,2023-02-28,2023-02-28
47,PLDT ,,,,,,2023-02-28,2023-03-02
48,REALME,,,,,,2023-03-01,2023-03-01
49,REDFOX,,,,,,2023-03-01,2023-03-01
50,REDFOX,,,,,,2023-03-01,2023-03-01
51,RICOH,,,,,,2023-03-02,2023-03-02
52,RT5 PRINTING INK SUPPLIES TRADING,,,,,,2023-03-02,2023-03-02
53,SAMSUNG,,,,,,2023-03-06,2023-03-06
54,SAP,,,,,,2023-03-12,2023-03-12
55,SEAGATE,,,,,,2023-03-20,2023-03-20
56,SKETCHUP STUDIO  CHANNEL,,,,,,2023-03-21,2023-03-21
57,SMART,,,,,,2023-03-24,2023-03-24
58,SONY,,,,,,2023-06-06,2023-06-06
59,STARLINK,,,,,,2023-07-24,2023-07-24
60,SYNOLOGY,,,,,,2023-09-20,2023-09-20
61,TP-Link,,,,,,2023-09-28,2023-09-28
62,TRIMBLE,,,,,,2023-10-12,2023-10-12
63,UNIDEN,,,,,,2023-12-13,2023-12-13
64,UNISON COMPUTER SYSTEM  INC,,,,,,2024-03-08,2024-03-08
65,UNIVERSAL ACCESS SOLUTIONS,,,,,,2024-03-15,2024-03-15
66,UPLIFT,,,,,,2024-04-11,2024-04-11
67,VERTIV (LIEBERT),,,,,,2024-05-03,2024-05-03
68,VIEW SONIC,,,,,,2024-05-18,2024-05-18
69,WIRELESS PROJECTOR,,,,,,2024-05-23,2024-05-23
70,XIAOMI,,,,,,2024-05-23,2024-05-23
71,ZTE,,,,,,2024-05-27,2024-05-27
72,ZTKECO ,,,,,,2024-05-28,2024-05-28
