1,ACCEL PRIME TECHNOLOGIES INC 
2,ACCENT MICRO TECHNOLOGIES INC 
3,ADOBE ONLINE
4,ADVENTUS
5,AOC LM726
6,CDR KING
7,COLUMBIA TECHNOLOGIES INC 
8,COMPLINK
9,COMPLINK MARKETING INC
10,EDUMAR ENTERPRISES
11,EPLDT
12,GEO PLAN PHILIPPINES INC
13,GLOBE
14,HIGHPOINT SERVICES NETWORK PHILIPPINES INC
15,INFRASYS
16,LINKSYS
17,MAGNUM COMPUTERWARE GLOBAL CORPORATION
18,MAXIMUM SOLUTIONS CORPORATION
19,MICROPHASE CORPORATION
20,MICROVALLEY COMPUTER SUPERSTORE
21,MUSTARD SEED SYSTEMS CORPORATION
22,NEXUS TECHNOLOGIES
23,OCTAGON
24,ONE DEPOT
25,PC EXPRESS URQUAN INC
26,PRODUCTIVITY TECHNOLOGIES SERVICES INCORPORATED
27,RADIUS
28,RICOH (PHILIPPINES) INC.
29,RT5 PRINTING INK SUPPLIES TRADING
30,S1 TECHNOLOGIES INC
31,SHELLSOFT TECHNOLOGY CORPORATION
32,SMART
33,SPECTRAMIND SYSTEMS TECHNOLOGY INC
34,STARLINK PHILIPPINES
35,TEKNOWSERVE
36,TEKPLAY
37,TRENDOM
38,TRENDOM I.T & SOFTWARE SOLUTIONS INC.
39,ULTRA SETTING OPC / KWAN CORP
40,UNISON COMPUTER SYSTEM INC
41,UNIVERSAL ACCESS & SYSTEMS SOLUTIONS INC
42,UPLIFT
43,VIGAN INK CARTRIDGES AND SUPPLIES
44,VSTECS PHILIPPINES INC
45,ZKTECO
